393	354
546	433
310	66
797	99
700	313
663	64
578	468
528	269
747	183
464	569
217	30
450	188
339	523
515	553
576	699
381	795
90	388
19	397
171	242
253	475
386	242
439	726
420	586
13	678
327	221
358	171
163	742
502	98
170	430
525	582
296	93
499	121
339	195
278	699
625	294
742	681
503	519
25	229
35	755
654	18
482	769
640	616
779	153
233	323
513	250
440	531
24	347
383	480
496	143
502	471
703	220
513	727
119	96
270	543
453	415
718	7
172	18
488	383
209	712
720	394
3	736
664	147
354	41
607	507
56	414
188	399
28	411
462	420
6	199
336	98
